"Title","Title"
"Status","Status"
"Enable","Enable"
"Disable","Disable"
"Mode","Mode"
"Malformed JSON data","Malformed JSON data"
"Invalid API key","Invalid API key"
"Data provided is invalid","Data provided is invalid"
"Data provided was not found","Data provided was not found"
"Unexpected API error","Unexpected API error"
"Credit Card (Payway)","Credit Card (Payway)"
"Available Credit Cards","Available Credit Cards"
"New Order Status","New Order Status"
"The status in which the Order will be left, after the payment is processed","The status in which the Order will be left, after the payment is processed"
"Sandbox","Sandbox"
"Production","Production"
"Sandbox Site Id","Sandbox Site Id"
"Sandbox Public Key","Sandbox Public Key"
"Sandbox Private Key","Sandbox Private Key"
"Production Site Id","Production Site Id"
"Production Public Key","Production Public Key"
"Production Private Key","Production Private Key"
"Sort Order","Sort Order"
"-- Please Select --","-- Please Select --"
"Installments","Installments"
"Select Installments","Select Installments"
"Gateway error. Try again later","Gateway error. Try again later"
